"Source";"Target";"Type";"Year"
34036;14945;"Directed";1991
34036;30363;"Directed";1991
34036;7092;"Directed";1991
34036;3476;"Directed";1991
34036;10848;"Directed";1991
34036;14609;"Directed";1991
34036;13772;"Directed";1991
34036;6804;"Directed";1991
34036;18905;"Directed";1991
34036;30668;"Directed";1991
34036;35386;"Directed";1991
34036;28653;"Directed";1991
34036;31244;"Directed";1991
34036;30070;"Directed";1991
34036;22909;"Directed";1991
34036;37156;"Directed";1991
34036;1284;"Directed";1991
34036;36592;"Directed";1991
34036;1577;"Directed";1991
34036;17084;"Directed";1991
34036;16771;"Directed";1991
34036;25887;"Directed";1991
34036;35429;"Directed";1991
34036;9443;"Directed";1991
34036;7687;"Directed";1991
34036;14099;"Directed";1991
34036;563;"Directed";1991
34036;23705;"Directed";1991
34036;10870;"Directed";1991
34036;34511;"Directed";1991
34036;17714;"Directed";1991
34036;20095;"Directed";1991
34036;1531;"Directed";1991
34036;27988;"Directed";1991
34036;17720;"Directed";1991
34036;32446;"Directed";1991
34036;21573;"Directed";1991
34036;2166;"Directed";1991
34036;3049;"Directed";1991
34036;2464;"Directed";1991
34036;4199;"Directed";1991
34036;34832;"Directed";1991
34036;27097;"Directed";1991
34036;7416;"Directed";1991
34036;15594;"Directed";1991
34036;16483;"Directed";1991
34036;785;"Directed";1991
34036;3915;"Directed";1991
34036;4491;"Directed";1991
34036;36326;"Directed";1991
34036;18042;"Directed";1991
34036;32178;"Directed";1991
34036;21510;"Directed";1991
34036;25927;"Directed";1991
34036;10257;"Directed";1991
34036;2199;"Directed";1991
34036;21016;"Directed";1991
34036;9218;"Directed";1991
34036;31896;"Directed";1991
34036;18676;"Directed";1991
34036;26547;"Directed";1991
34036;17145;"Directed";1991
34036;465;"Directed";1991
34036;34858;"Directed";1991
34036;37517;"Directed";1991
34036;22886;"Directed";1991
34036;14715;"Directed";1991
34036;11812;"Directed";1991
34036;36931;"Directed";1991
34036;33377;"Directed";1991
34036;36933;"Directed";1991
34036;30459;"Directed";1991
34036;23888;"Directed";1991
34036;4225;"Directed";1991
34036;23061;"Directed";1991
34036;11207;"Directed";1991
34036;18762;"Directed";1991
34036;28125;"Directed";1991
34036;10362;"Directed";1991
34036;12095;"Directed";1991
34036;27142;"Directed";1991
34036;16945;"Directed";1991
34036;7753;"Directed";1991
34036;29556;"Directed";1991
34036;25652;"Directed";1991
34036;23148;"Directed";1991
34036;33096;"Directed";1991
34036;36664;"Directed";1991
34036;30154;"Directed";1991
34036;15046;"Directed";1991
34036;8335;"Directed";1991
34036;36666;"Directed";1991
34036;28964;"Directed";1991
34036;33993;"Directed";1991
34036;35828;"Directed";1991
34036;9527;"Directed";1991
34036;23011;"Directed";1991
34036;12686;"Directed";1991
34036;14179;"Directed";1991
34036;26032;"Directed";1991
34036;26457;"Directed";1991
34036;7641;"Directed";1991
34036;21632;"Directed";1991
34036;33109;"Directed";1991
34036;27639;"Directed";1991
34036;7772;"Directed";1991
34036;24781;"Directed";1991
34036;13590;"Directed";1991
34036;25677;"Directed";1991
34036;26583;"Directed";1991
34036;36286;"Directed";1991
34036;14762;"Directed";1991
34036;17496;"Directed";1991
34036;29509;"Directed";1991
34036;29521;"Directed";1991
34036;29282;"Directed";1991
34036;29281;"Directed";1991
34036;18432;"Directed";1991
34036;15369;"Directed";1991
34036;5223;"Directed";1991
34036;15931;"Directed";1991
34036;1044;"Directed";1991
34036;506;"Directed";1991
34036;3685;"Directed";1991
34036;29291;"Directed";1991
34036;33721;"Directed";1991
34036;34319;"Directed";1991
34036;12716;"Directed";1991
34036;15083;"Directed";1991
34036;23369;"Directed";1991
34036;2267;"Directed";1991
34036;31952;"Directed";1991
34036;21228;"Directed";1991
34036;239;"Directed";1991
34036;34038;"Directed";1991
34036;8670;"Directed";1991
34036;10976;"Directed";1991
34036;13669;"Directed";1991
34036;32549;"Directed";1991
34036;11271;"Directed";1991
34036;9080;"Directed";1991
34036;13026;"Directed";1991
34036;19224;"Directed";1991
34036;31102;"Directed";1991
34036;26622;"Directed";1991
34036;31382;"Directed";1991
34036;35524;"Directed";1991
34036;33162;"Directed";1991
34036;4305;"Directed";1991
34036;9874;"Directed";1991
34036;4304;"Directed";1991
34036;33752;"Directed";1991
34036;19053;"Directed";1991
34036;21546;"Directed";1991
34036;21103;"Directed";1991
34036;18158;"Directed";1991
34036;17546;"Directed";1991
34036;15088;"Directed";1991
34036;17855;"Directed";1991
34036;29039;"Directed";1991
34036;29932;"Directed";1991
34036;2423;"Directed";1991
34036;2883;"Directed";1991
34036;37601;"Directed";1991
34036;5211;"Directed";1991
34036;566;"Directed";1991
34036;3748;"Directed";1991
34036;31999;"Directed";1991
34036;1728;"Directed";1991
34036;4551;"Directed";1991
34036;2616;"Directed";1991
34036;18175;"Directed";1991
34036;10024;"Directed";1991
34036;10168;"Directed";1991
34036;23707;"Directed";1991
34036;27927;"Directed";1991
34036;24862;"Directed";1991
34036;20241;"Directed";1991
34036;19080;"Directed";1991
34036;16048;"Directed";1991
34036;33482;"Directed";1991
34036;37621;"Directed";1991
34036;28461;"Directed";1991
34036;14548;"Directed";1991
27223;31706;"Directed";1987
27223;24297;"Directed";1987
27223;30555;"Directed";1987
27223;22605;"Directed";1987
27223;22894;"Directed";1987
27223;308;"Directed";1987
27223;9342;"Directed";1987
27223;25180;"Directed";1987
27223;27532;"Directed";1987
27223;35014;"Directed";1987
27223;888;"Directed";1987
27223;26693;"Directed";1987
27223;20877;"Directed";1987
27223;31441;"Directed";1987
27223;22915;"Directed";1987
27223;16555;"Directed";1987
27223;13702;"Directed";1987
27223;7022;"Directed";1987
27223;16404;"Directed";1987
27223;12201;"Directed";1987
27223;29098;"Directed";1987
